Word,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
llovizna,5.18,1.65,4.23,2.39,4.68,2.26
lluvia,6.58,1.75,3.29,2.19,4.25,2.75
lluvioso,5.55,2.19,4.33,2.42,4.44,2.68
lo desagradable,2.59,1.3,4.36,2.22,3.42,2.12
lobo,6.26,1.59,5.25,2.24,4.59,2.58
lobotomía,2.45,2.13,5.32,2.65,2,1.55
lóbulo,4.52,1.44,3.92,1.93,5.59,2.15
loca,5.14,1.93,5.9,2.26,4.19,2.1
local,6.77,1.74,3.8,1.91,6.68,1.97
local,5.05,1.07,4,2.41,5.63,1.57
localización,5.77,1.63,4.58,2.65,6.19,1.54
localizada,5.05,1.05,2.4,1.64,5.86,1.28
localizador,4.9,0.91,3.16,1.92,4.18,1.76
localizador,5.14,1.49,2.83,2.32,5.45,2.21
localizar,5.58,1.22,3.67,1.85,6.3,1.49
loción,5.52,1.88,3.55,2.28,5.75,2.45
loco,4.95,1.7,5.08,2.37,4.29,2.16
loco,3.5,1.57,6.25,2.1,4.06,2.47
loco,4.55,1.88,4.29,2.85,2.88,1.98
loco,4.48,1.44,4.04,2.61,4.2,2.5
loco,3.45,2.2,6.09,2.53,3.76,2.15
locomotora,4.53,1.71,4.8,2.4,4.21,1.91
locomotora,5.95,1.28,5.5,2.18,5.23,2.14
locura,3.82,2.04,6.83,1.99,4.32,2.08
locura,4.11,1.63,4.56,1.62,3.65,1.73
locura,2.7,1.81,7.79,1.44,4.12,2.39
locura,4.58,2.43,5.2,2.35,4.1,2.38
locura,2.86,1.71,6.25,2.22,4.18,2.91
locutor,5.84,1.5,4.5,2.7,4.07,1.71
locutor telediario,4.89,1.2,2.95,1.85,4.85,2.03
lodo,2.95,1.23,4.38,2.27,4.33,2.48
log,4.94,1.11,4.29,2.31,5.7,1.4
logia,6.43,1.54,3.33,2.29,5.8,1.78
lógica,6.58,1.12,3.67,1.85,6.7,1.69
lógico,6.38,2.25,3.83,1.99,7.29,1.93
logística,5.05,1.85,3.76,1.55,5.65,2.29
logotipo,5.53,2.01,3.32,2.51,5,1.9
lograr,7.45,1.15,5.16,2.81,7.27,1.52
lograr,7.75,1.16,4.7,2.96,6.61,2.44
logro,7.28,2.15,5.57,2.17,7.17,1.72
loma,5.09,1.06,3.68,2.06,5.55,1.85
lona,5.67,1.98,2.7,1.58,5.89,2.32
lona,4.79,1.08,2.9,2.13,4.36,1.59
longevidad,6.57,1.66,4.75,2.63,5.89,2.21
longitud,4.76,1.61,2.91,1.93,5.04,1.82
longitud onda,6.05,1.77,3.44,2.31,5.22,2.18
looker,6.05,1.81,4.88,2.29,6.17,2.08
loro,6.79,1.36,4.65,2.41,4.25,2.29
losa,4.7,1.63,2.4,1.43,4.27,1.58
lote,5.57,1.25,3.29,1.85,5.43,1.83
lotería,6.33,1.98,6.05,2.42,3.45,2.7
lotería,6.05,1.86,6,2.74,3.29,2.83
loto,6.24,1.87,3.77,2.14,4.86,2.2
Lowdown,3.74,1.79,4,2.43,4.87,2.12
lozano,5.8,2.14,5.59,2.74,4.84,2.75
luau,6.05,1.47,4.59,2.28,6.33,1.68
lubricante,5.1,1.97,4.17,2.37,5.58,1.86
lubricante,5.32,1.67,5.38,1.69,5.52,2.25
lucha,3.54,1.99,6.33,2.4,4.68,2.46
lucha,5.21,1.36,4.85,2.62,5,1.98
lucha,3,1.82,5.9,2.2,3.67,2.37
lucha,4.62,1.86,4.24,2.63,5.12,2.11
luchador,5.1,2.3,5.3,2.16,6.42,2.27
luchador,4.26,1.63,4.32,2.46,5.37,2.17
luchadora,5.76,2,6.3,1.69,6.11,2.72
luchar,4.53,1.78,4.55,2.34,5.81,2.22
lúcido,5.35,2.16,4.78,2.71,5.27,2.19
luciérnaga,7.05,1.72,4.85,2.7,5.27,1.91
lucio,4.73,1.45,4.09,2.64,5.5,2.24
lucrativo,6.81,1.81,5.15,2.62,6.11,1.92
lugar,5.86,1.36,3.52,2.32,6.53,1.91
lugar,5.12,1.54,2.95,1.91,4.83,2.09
lugar,5.32,1,2.76,1.67,5.54,2.45
lugar,5.37,1.95,4.18,2.3,6.04,1.68
lugar nacimiento,6.95,1.64,3.41,2.56,4.85,2.77
lugar trabajo,5.38,2.29,3.5,2.28,5.56,2.48
lujo,6.76,1.58,4.96,2.35,6.59,1.94
lujo,7.25,1.71,4.71,3.04,5.86,2.26
lujo,5.45,1.43,3.82,1.68,6.16,2.06
lujoso,7.43,1.6,5.42,2.57,7.16,2.12
lujoso,7.58,1.95,4.73,2.57,6.62,2.02
lujuria,6.26,2.1,6.44,2.36,4.64,2.77
lumbar,4.47,1.35,3.28,1.74,4.82,2.32
luminoso,6.29,1.85,3.73,2.57,5.85,2.05
Luna,7,1.88,3.43,2.27,6.11,2.03
luna miel,7.53,1.81,5.91,2.97,7.33,1.39
lunar,6.15,1.53,5.5,2.14,4.5,2.4
lunático,3.47,2.22,5.64,2.17,3.29,2.22
lustroso,5.42,1.43,4.33,2.45,5.88,2.06
luto,1.71,1.15,3.9,2.95,3.64,2.46
luz,6.95,1.48,4.05,2.84,5.88,2.34
luz calcio,6.05,1.7,5.47,2.06,5.86,2.01
luz calle,4.9,1.61,3.78,2.21,5.38,1.79
luz cola,5.11,1.1,3.56,1.89,5.53,1.94
luz dfuego,6.38,1.83,3.58,1.74,5.55,2.28
luz dsol,7.46,1.94,4.44,2.66,6.12,2.3
luz estrellas,7.68,1.34,4.91,2.27,5,2.16
luz luna,7.05,1.86,3.61,2.37,6.28,2.7
luz luna,5.5,1.91,4.67,3.06,4.95,2.37
luz tenue,6.68,1.67,4.58,2.32,5.79,2.1
luz una vela,6.63,1.34,3.22,2.51,6.18,2.27
macadamia,6.33,1.88,3.8,2.86,5.37,2.22
macarena,6.52,2.09,4.24,2.33,5.26,1.85
macarra,6.14,2.25,6.68,2.19,6,2.37
macarrones,7.75,1.37,5.09,2.37,6.27,2.43
maceta,5.81,2.09,4,2,6,1.98
maceta,5.74,1.48,2.8,1.94,4.9,2.05
mach,5.35,0.81,3.95,2.6,5.24,2.49
machete,4.13,1.98,6.18,2.63,4.7,2.32
macho,4.84,2.29,3.96,2.12,4.94,2.21
maconducta,3.55,1.73,4.59,1.99,5.16,2.24
macro,5.2,1.28,3.85,2.25,5.45,1.37
madera,4.9,1.17,3.73,2.16,5.37,1.77
madera,5.82,1.47,3.5,1.7,6.37,2.71
madera,5.27,1.45,4,2.21,5.79,2.21
madera a deriva,5.53,1.02,3.1,2.19,4.96,2.57
madera contrachapada,4.74,1.19,2.67,1.8,5.05,2.19
madera dura,5.65,1.5,3.68,2.34,6.19,2.57
madrastra,3.67,1.91,3.69,2.2,4.17,2.7
madre,7.53,1.86,4.73,2.92,6.11,2.64
madriguera,5.53,1.31,3.52,2.23,5.24,1.98
madrina,6.52,1.83,4.95,2.48,5.56,2.34
madurez,6.53,1.17,3.55,2.74,6.78,1.72
maduro,5.95,2.03,3.48,2.09,7.05,1.59
maduro,5.57,2.01,4.78,2.32,5.72,2.02
maestría,6.55,1.34,5.68,2.73,7.25,1.68
maestro,6.14,1.71,3.7,2.3,6.24,2.02
maestro,5.72,1.99,4.4,3.15,4.17,2.83
maestro,6.72,1.64,4.38,1.77,6.77,2.09
maestro,4.95,1.39,3.24,1.76,4.8,2.58
maestro,5.14,2.13,3.95,2.58,5.23,2.78
maestro,7.37,1.74,2.9,2.31,5.95,2.17
maestro ceremonias,5.15,1.31,4.05,2.1,4.74,2.38
mafama,5.68,1.89,5.23,2.07,5.77,2.51
mafia,3.11,1.15,7.05,1.77,3.65,2.52
magdalena,6.9,1.58,4.22,2.54,5.85,1.8
magenta,5.95,2.13,4.58,2.46,5.43,1.91
magia,7.17,1.89,6.05,2.64,5.33,2.47
mágico,8.23,0.97,5.88,2.47,5.3,2.2
magistrado,4.71,1.82,3.68,1.94,4.7,2.66
magna,5.09,1.44,4.63,2.03,4.9,2.26
magnate,5.42,1.84,3.48,2.22,5.11,2.18
magnate,4.74,2.02,4.3,2.34,4.62,2.48
magnesio,4.95,1.87,2.86,1.86,4.87,1.82
magnético,6.17,1.47,3.55,2.56,4.84,2.15
magnetismo,6,1.37,4.56,2.48,5.12,2.5
magnificencia,7.47,1.31,3.95,3.02,6.93,1.94
magnífico,6.28,2.02,3.75,2.73,6,1.5
magnífico,6.95,1.51,4.52,2.39,6.05,2.34
magnífico,7,1.72,4.33,2.69,6.64,1.5
magnitud,5.1,1.21,5.11,2.47,5.09,2.37
magnolia,6.8,1.44,4.19,2.34,5.32,2.54
mago,5.68,2.21,4.73,2.73,4.26,2.33
mago,6.52,1.5,4.09,2.83,4.68,2.5
magro,6.35,1.79,3.32,2.04,5.84,2.36
Mahi mahi,5.52,2.18,5.16,2.36,5.86,2.43
mahierbas,4.6,2.3,4.32,1.99,4.42,2.01
mahjong,5.55,1.5,3.61,2.21,5.64,1.79
maíz,5.95,1.32,3.43,1.89,5.65,2.19
maíz molido,4.35,1.14,3.33,1.68,5.24,2.55
maizal,5.05,1.96,3.73,2.12,5.32,1.8
majaderías,5.68,1.57,5.19,2.11,4.6,2.16
majadero,4.67,1.24,3,2.18,5.06,2.04
majestad,6.86,2.31,4.7,2.79,7.21,2.12
majestuoso,7.14,1.9,4.16,2.49,6.63,2.06
majestuoso,5.05,1.36,3.1,2.17,5.27,2.76
majo,5.1,1.77,3.22,1.96,5.19,1.66
mal,2.34,1.61,5.67,2.93,3.6,2.62
mal estado,4.11,2.11,4.05,2.7,3.71,1.86
mal uso,3.25,1.48,4.48,2.13,4.9,1.64
mal ventilado,3.73,1.75,4.61,2.13,4.53,2.37
malabarista,6.3,2.05,4.05,2.56,5.23,2.72
malaria,2.34,1.39,5.07,2.63,3.32,1.53
maldad,3.55,2.01,4.38,2.94,4.08,2.48
maldad,2.86,2.08,6,2.55,4.14,2.93
maldición,2.9,2.17,5.2,2.38,5.15,2.37
Maldita sea,4.32,1.78,5.1,2.47,4.39,2.33
maldito,3.21,1.36,5.33,2.13,4.13,2.3
maldito,3.81,1.81,3.17,2.37,5.56,2.01
maldito,5.09,3.29,6.86,2.29,4.94,2.69
maldito,3.81,1.94,5.81,2.44,4.59,2.45
maldito,3.36,1.99,6.05,2.82,4.65,2.41
maldito,4.15,1.87,4.32,2.53,4.67,2.09
maleficio,2.47,1.74,4.77,2,4.42,2.43
malentendido,2.86,1.46,4.52,2.43,3.83,2.09
malestar,2.84,0.83,4.43,2.42,3.55,1.87
maleta,5.25,1.62,3.24,2.07,5.5,2.16
maletero,5.02,1.49,3.51,2.17,5.46,2.28
maletín,5.2,1.4,3.59,1.99,6.33,1.85
malévolo,2.89,1.66,4.71,1.9,5.13,2.4
malhumorado,3.33,2.13,4.91,2.48,5.39,2.48
malhumorados,3.16,1.12,6,1.48,5.09,1.9
malicia,2.81,1.56,4.81,2.52,4.56,2.31
malicioso,2.32,1.42,4.95,1.66,4.78,2.94
maligno,3.1,1.67,4.42,2.98,4.2,2.55
malla,5.25,1.48,3.11,1.88,5.18,1.82
malo,3.24,1.92,4.86,2.69,3.56,2.18
maloliente,2.68,1.46,5.43,2.27,4,1.75
malta,6.14,2.2,3.75,2.07,5.91,1.93
maltratadas,2.95,1.5,3.86,2.57,3.22,2.31
maltrato,2.75,1.41,4.67,2.57,4.36,2.22
malvados,2.63,1.42,5.86,1.65,3.61,2.18
malvavisco,6.84,2.09,4.7,2.42,5.58,2.14
malversación,2.95,1.27,4.67,2.28,4.18,2.77
malversador,3.05,2.12,5.24,2.68,3.79,2.48
mamá,7.64,1.62,4.29,2.8,5.28,1.96
mamá,7.64,1.43,4.62,2.65,6.29,2.26
mamá,7.45,1.74,3.45,2.7,5.11,2.45
mamá,5.43,1.21,3.35,2.35,4.54,2.12
mamada,6.16,2.48,6.5,2.55,6.07,2.8
mambo,5.52,1.97,5.05,2.18,5.1,1.58
mami,5.1,2.07,3.82,2.5,4.7,2.78
mami,7.39,2.55,3.7,3.01,4.89,2.68
mamífero,5.95,1.91,3.81,2.54,6,1.75
mamparo,4.67,1.43,3.65,1.87,4.88,2.28
mamuerte,3.9,1.97,4.26,1.86,4.38,1.96
mamut,5.84,1.68,4.09,1.85,5.23,2.05
maña,5.68,1.86,3.77,2.09,5.71,2.03
manada,5.16,2.41,3.95,2.72,5.7,2.03
manada,5.67,1.68,3.33,2.08,5,2.11
Mañana,6.41,1.92,3.95,2.33,6.35,1.84
mancha,3.1,2.13,4.81,1.66,5.12,2.64
mancha,4.37,1.57,3.05,1.68,5.29,1.55
mancha,5,1.49,4.17,2.79,5.25,2.22
mancha,4.29,1.52,3.32,2.06,4.89,2.31
mancha,3,1.08,4.27,2.43,4.61,2.48
mancha,3.77,1.74,4.43,2.27,4.45,2.18
mancha nacimiento,4.6,1.5,3,1.78,4.24,2.42
manchado,4.29,1.19,4,1.91,4.09,2.27
manchar,3.89,1.41,4.05,1.99,4.45,1.88
mancuerna,4.71,2.12,3.54,2.62,4.95,2.39
mandamás,5,1.41,3.05,1.96,5.27,1.88
mandamiento,5.55,1.92,4.16,1.92,5.19,2.58
mandarina,6.15,1.35,3.91,2.49,5.56,2.45
Mandarina,6.81,1.5,3.9,2.31,6,2.85
mandato,3.76,1.04,4.32,2.15,4,2.78
mandíbula,4.41,1.01,4.09,2.35,5.84,1.92
mandíbula,4.32,1.25,3.05,1.77,4.9,1.97
mandíbulas,4.42,1.61,5.91,3.24,4.68,1.94
mandolina,5.7,1.92,3.14,2.17,6.25,2.34
mandón,2.86,1.36,4.68,2.55,4.73,2.37
manejable,5.33,2.06,3.05,1.93,6.86,2.06
manejador,4.86,1.53,3.6,2.48,5.16,2.24
manejar,5.73,1.24,3.48,1.94,6,2.12
manera,5.86,1.44,3.52,2.14,5.45,2
manga,5.95,1.39,3.26,2.34,6.05,1.72
mango,6.57,2.31,3.05,1.77,5.76,2.2
mangosta,4.95,1.96,3.55,2.39,4.23,1.82
manguera,5,1.18,4.54,2.38,5.67,2.33
manguito,4.81,1.94,3.56,2.29,4.16,2.57
manguito,5.63,2.39,3.59,2.38,4.43,2.33
maní,6.38,1.63,3.48,2.37,5.74,2.23
manía,5.33,1.8,6.45,1.9,5.22,2.04
manía,3.62,1.91,4.74,2.53,3.83,2.55
maníaco,3.5,2.48,5.77,2.83,3.8,2.69
maníaco,3.3,1.82,6,2.86,4.1,2.05
maníaco,4.19,1.54,4.55,2.7,3.63,2.02
manicomio,3.11,1.64,5.77,2.52,3.21,1.96
manicomio,3.4,1.6,4.33,2.14,3.45,2.69
manicura,6.15,1.79,4.23,2.29,5.56,2.06
manicuro,5.57,1.94,4.17,2.39,5.19,2.14
manifestación,5.65,1.63,3.91,2.02,5.57,1.69
manifestación,4.38,1.47,4.21,2.73,5.5,2.67
manifiesto,4.81,1.78,4.12,2.79,5.16,2.27
manifiesto,4.05,2.37,4.59,2.28,5.12,2.01
maniobra,4.63,0.83,4.33,1.59,5.88,2.25
manipulación,2.84,1.42,4.86,2.35,5.39,3.09
manipular,3.21,1.36,4.76,1.92,5.74,2.96
manipular,3.33,1.37,5.55,2.13,4.63,2.03
manipulativo,2.9,1.92,4.44,2.38,3.67,2.52
maniquí,3.66,1.7,3.79,2.15,3.71,2.01
maniquí,5.35,1.66,3.9,2.38,6.38,1.98
manivela,3.85,1.87,4.67,2.63,5.17,2.37
mano,5.9,1.39,3.98,2.39,5.88,2.21
mano,6.26,1.18,3.61,1.83,6.14,1.65
mano obra,6,1.49,4.32,2.43,5.92,2.19
manojo,5.83,1.69,2.81,1.97,4.56,1.82
mansiones,6.21,1.93,4.95,2.91,5.8,2.09
manso,4.92,1.99,3.14,1.88,5.05,2.32
manteca cerdo,3.55,1.61,2.95,2.26,4.18,2.34
mantel,5.33,1.49,2.81,1.91,6.28,1.95
mantener,6.05,1.76,4.86,2.17,5.67,2.52
mantener,6.29,1.19,2.75,2.21,5.89,2.31
mantenimiento,5.95,1.76,2.81,1.91,5.28,2.69
mantenimiento,5.14,2.17,4.44,2.2,6.05,2.52
mantenimiento paz,6.79,1.4,4,2.27,6.32,2.34
mantequera,4.84,1.12,4.28,2.65,4.35,2.12
mantequilla,6.36,1.74,3.37,2.15,5.67,2.06
mantillo,5.33,1.8,3.52,1.81,5.24,1.09
mantis,4.95,1.61,3.25,2.47,5.88,2.17
Mantis religiosa,5.4,1.96,3.24,2.21,4.36,2.5
manto,5.35,1.18,2.45,1.82,5.05,1.53
mantra,5.47,1.39,3.48,2.27,5.87,1.84
manual,5.3,1.55,3.36,2.01,5.85,2.28
manual,4.95,1.64,3.17,1.72,6.48,1.6
manufactura,5,1.91,4.41,2.42,5.45,1.68
manuscrito,6.05,1.39,3.29,2.33,5.32,1.97
manzana,6.62,1.72,3.52,2.06,6.44,2.1
mapa,5.81,1.91,3.95,2.28,5.79,2.82
mapache,5.85,1.9,5.16,2.75,5.19,2.08
maquillaje,5.21,1.4,4.1,1.68,6.46,2.4
máquina,5,1.24,4.39,2.18,4.8,2.22
máquina escribir,5.44,1.1,2.4,1.76,5.96,1.54
maquinaria,4.65,1.87,3.89,2.22,4.76,2.26
maquinilafeitar,5.39,1.2,4.22,2.19,5.44,2.33
mar,3.47,1.65,3.41,1.87,4.52,2.11
mar,6.56,2.09,2.8,2.33,5.22,2.41
maraña,3.95,1.39,4.52,2.27,4.35,2.21
maratón,5.48,1.72,5.04,2.69,4.9,2.77
maravilla,5.84,2.36,4.77,2.39,5.21,1.47
maravilloso,6.42,1.46,4.67,2.32,5.46,2.25
maravilloso,7.21,1.72,3.77,2.86,6.21,1.81
maravilloso,6.24,2.34,6.5,2.06,5.81,2.32
maravilloso,7.41,1.84,4.57,2.54,7.19,2.07
maravilloso,6.73,1.83,4.52,2.76,6.16,2.29
marca,5.05,2.12,2.82,2.32,4.57,1.97
marca,5,1.18,3.72,2.28,5.74,2.49
marcador,6.26,1.88,3,2.32,6.47,2.17
marcador,5.8,1.64,4.05,2.54,5.48,2.24
marcador,5.4,1.79,4.59,2.42,5.4,2.23
marcapasos,4.9,2.25,4.36,2.3,5.1,2.69
marcar,4.63,1.54,3.76,1.87,6.89,1.73
marcha,4.79,1.44,4.24,2.75,5.08,2.5
marcha atrás,5.2,1.32,3.73,2.57,6.08,2.12
marchitar,4.21,2.25,4.14,2.08,4.05,1.96
marchitar,3.42,1.17,3.24,1.41,4.35,2.6
marchitar,2.95,1.57,3.3,2.32,3.82,2.38
marchitez,3.7,1.08,4.38,2.09,4.03,2.3
marcial,5.4,1.64,4.23,2.31,4.59,2.42
marco,5.32,1.16,4.04,2.2,5.78,2.08
marco,5.74,1.37,3.11,1.81,5.77,2.09
marco alemán,4.42,2.24,3.23,2.52,4.25,1.84
marea,5.33,1.39,5.05,2.55,5.32,1.8
marea,4.9,2.57,4.8,2.57,3,2.43
marea,6.55,1.7,5.47,2.89,4.76,2.35
mareado,3.14,1.71,4.67,2.32,3.55,1.92
mareado,6.17,2.01,5.32,2.88,6.4,1.98
mareado,4.05,2.04,2.9,2.28,3.64,1.79
mareado,4.89,2.31,3.96,2.06,3,1.33
mareado,2.74,2,4.82,2.42,4.23,2.23
mareado,1.89,1.29,5,2.47,2.39,1.67
mareado,3.9,1.55,3.15,2.21,4,1.88
mareo,3.36,1.62,4.95,2.64,4.25,2.49
marfil,5.2,2.07,2.33,1.61,5.17,1.81
margarina,4.85,1.87,3.14,1.83,5.96,2.01
margarita,7.48,1.72,3.95,2.76,5.37,2.43
margarita,6.33,2.46,5.2,2.98,6.19,2.62
margen,4.75,1.25,3.71,1.93,5.15,2.64
marginal,4.6,1.05,3.57,1.54,5.47,2.02
mariachi,5.95,1.4,4.43,2.64,5.33,1.65
maricón,2.05,1.54,5.32,2.26,3.09,2.22
maricón,2.32,1.97,5.68,3.09,3.63,2.22
maricón,5.7,1.53,3.8,2.33,4.73,1.96
maricón,4.74,2.42,3.95,2.5,4.44,2.5
marijuana,3.63,2.03,4.36,2.95,4.77,2.81
marina,5.95,2.24,3.44,1.46,5.14,2.4
marina,5.38,2.04,3.64,2.48,5.07,2.53
marinara,5.95,1.7,3,2,6.59,1.76
marinero,5.58,0.96,3.43,1.86,4.96,2.23
marinero,6.1,2.1,3.87,1.79,6.09,2.33
marinero,5.28,1.9,4.3,2.75,5.6,1.85
marioneta,5.56,1.98,4.43,2.35,4.94,2.13
mariposa,7.23,1.67,3.2,2.5,5.51,2.52
mariquita,6.9,1.55,3.45,1.9,5.33,2.18
mariquita,3.42,1.74,3.26,2.53,4.61,2.46
mariscal,4.62,1.53,4.08,2.52,5.79,2.37
mariscal campo,5.48,2.38,3.58,2.62,5.4,2.66
mariscos,6.45,2.44,4.73,2.95,5.54,2.43
mariscos,5,2.34,2.9,2.15,5.09,2.16
marital,5.24,1.92,4.91,2.29,5.43,2.18
marítimo,4.9,1.61,3.36,2.08,5.26,1.85
mármol,5.8,1.64,3.57,1.73,5.38,2.11
marmota,5.19,2.14,3.12,2.09,5.32,1.86
marqués,4.77,1.69,3.77,2.16,4.6,2.09
marquesina,6,1.3,4.21,2.23,5.64,1.96
marrón,5.52,1.63,3.32,2.19,4.65,1.44
martillo,5.17,0.87,4.56,2.49,5.59,2.24
martillo,4.63,2.19,4.43,2.48,4.11,2.02
martillo neumático,3.9,1.55,4.7,2.44,4.76,2.34
martini,6.14,2.1,5.9,2.4,5.33,2.4
mártir,4.24,1.89,4.52,2.2,3.79,1.96
más íntimo,5.25,1.41,3.57,2.25,6.24,2
más numerosos,3.86,1.68,4.45,2.37,4.56,2.26
masa,4.89,1.41,3.43,2.34,5.05,2.14
masa,6,1.62,4.1,2.02,5.96,1.69
masa,5.15,1.35,3.56,2.18,5.47,2.55
masa blanda,4.05,1.79,3.21,2.41,4.79,1.93
masacre,1.77,1.57,6.68,2.49,3.33,2.45
masacre,2.33,1.85,5.77,2.36,3.57,2.28
masaje,7.16,1.64,3.88,2.59,6.57,2.22
masaje,6.52,1.72,4.24,2.24,5.05,2.33
masajista,5.73,1.78,4.68,2.31,5.24,2.07
masajista,6.61,2.12,4.09,2.97,4.71,1.92
masas,4.41,1.94,4.11,2.91,4.54,2.13
máscara,4.81,1.5,3.26,2.4,5.1,2.22
mascarada,5.53,1.84,5.17,2.09,5.29,2.23
mascota,5.5,1.25,4.11,2.4,5.65,2.18
mascota,7.05,1.39,3.76,2.7,5.61,2.43
masculinidad,5.75,1.55,4.7,2.11,5.91,2.27
masculino,6.91,1.9,4.5,2.48,5.89,2.79
masculino,5.79,1.4,5.19,2.14,5.48,2.76
mascullar,4.4,1.73,3.19,2.18,3.68,2.25
masilla,5.15,1.57,2.9,1.71,4.52,1.81
masivo,5.18,1.37,5.79,2.68,5.71,2.35
masoquista,3.39,2.23,4.77,2.43,4.45,2.09
masticar,5.58,1.77,3.8,2.24,6.48,1.86
mástil,4.85,0.88,3.71,1.9,5.32,2.56
masturbación,5.89,2.4,6.3,2.64,5.92,2.8
masturbarse,5.65,2.08,6.42,2.15,6.46,2.57
matadero,2.68,1.67,6.76,2.39,3.17,2.39
matador,5,1.75,4.35,2.79,4.89,2.42
matanza,2.05,1.63,4.86,2.8,3.28,2.61
matanza,3.61,1.54,5.22,2.69,3.19,2.26
matar,1.81,1.6,6.81,2.54,3.61,2.3
matar,2.63,1.54,4.9,2.28,5.39,2.86
matemáticas,4.45,2.37,4.96,3.1,5.79,2.42
matemáticas,4.89,1.94,4.33,2.18,5.3,2.57
matemático,5.29,2,3.48,2.81,6,2.35
matemático,5.24,1.97,3.57,2.23,4.81,2.06
material,5.71,1.52,3.74,2.54,5.48,2.04
material archivo,5.33,1.28,3.12,1.96,5.71,2.34
materiales peligrosos,3.62,1.6,5.54,2.37,4.21,2.15
materialismo,3.52,2.06,3.52,2.31,4.89,2.95
materialista,3.79,1.79,4.04,2.12,4.6,2.36
materializar,5.75,1.45,3.95,1.94,6.55,2.22
maternal,6.7,2.03,4.38,2.64,6.32,1.89
maternal,7.67,1.75,3.74,2.88,5.08,2.48
maternidad,5.76,2.07,4.83,2.89,4.81,2.44
maternidad,6.8,2.42,5.52,2.68,6,2.66
matinée,6,1.94,3.05,1.96,5.3,2.39
matiz,6.26,1.63,3.4,2.54,4.56,1.76
matiz,5.47,1.81,4.55,2.04,4.58,1.67
matón,2.67,2.13,5.86,2.12,3.18,1.82
matón,3.9,2.14,5.35,2.43,3.62,2.35
matón,3.74,2.08,4.64,2.7,6.33,1.82
matón,2.52,1.44,5.48,2.27,3.53,2.37
matorral,4.33,1.8,3.25,2.29,4.45,2.3
matrícula,3.53,2.32,4.41,2.46,4.57,2.43
matrimonio,7.56,1.62,4.95,3.04,5.33,2.89
matrimonio,7,2.1,5.77,2.6,6.32,2.77
matrimonio,5.74,2.02,4.45,2.14,4.91,2.56
matriz,5.9,1.48,3.71,2,5.62,1.43
matriz,5.9,2.05,4.4,2.56,4.58,2.83
matrona,4.79,1.69,3.59,1.76,5.68,1.67
maullar,6.14,1.9,3.42,3.05,5.75,2.02
maullido,6.05,2.19,4.62,2.42,5.56,1.92
mausoleo,4.5,1.36,3.87,2.49,4.62,2.82
mavida,2.68,1.34,4.29,1.71,3.4,1.82
maxilar,4.63,1.16,4.19,1.72,5.65,1.94
máxima,5.74,1.41,4.1,2.1,5.64,1.98
maximizar,6.2,1.74,4.74,2.63,5.9,2
máximo,4.7,1.92,5.05,2.66,5.62,2.01
may Day,4.42,2.61,4.27,2.43,4.25,1.87
mayflower,5.29,2.03,2.91,2.2,5.26,2.03
mayo,5.55,2.06,3.19,1.86,5.94,2.25
mayonesa,5.65,2.41,3.9,2.38,5.88,1.97
mayor,6.37,1.74,4.59,2.11,4.95,2.27
mayor,5.52,1.36,4.24,2.72,5.28,1.67
mayor,4.79,1.36,3.44,2.31,5.26,2.61
mayor,6.81,1.66,3.1,1.97,5.59,2.75
mayordomo,5.62,1.69,2.55,1.6,6.04,2.41
mayordomo,5.06,0.87,2.57,1.75,5.64,2.36
mayoría,4.95,1.07,4.3,2.36,4.76,2.59
maza,4.14,2.01,5.43,2.13,4.76,2.61
mazapán,5.4,1.27,3.91,2.69,5.23,2.58
mazmorra,3.52,2.2,5.13,2.47,3.68,2.51
mazo,4.3,1.59,2.72,1.93,4.21,1.98
mazo,4.7,1.63,3.95,2.44,6.24,1.73
meanie,3.17,2.04,4.85,2.28,4.48,1.73
mear,2.73,1.61,4.74,2.99,5.63,2.52
meathead,3.38,1.6,4.22,2.24,3.81,2.34
mecánica,6,1.45,3.91,2.52,5.21,1.75
mecánico,5.45,1.32,4.45,2.15,5.15,2.64
mecánico,5.67,1.93,5.4,2.82,5,2.62
mecanismo,4.9,1.61,3.64,1.79,5.42,1.75
mecanógrafo,5.3,1.58,4.14,2.23,6.15,2.08
mecedora,5.65,1.63,5.67,2.74,6,1.92
med,5,1.9,3.52,2.5,5.64,1.84
medalla,5.2,1.61,5.3,2.45,5.88,1.8
medallón,5.71,1.95,3.39,1.64,5.2,2.12
medallón,5.85,1.39,3.25,2.29,5.52,1.29
media,5.33,1.74,4.08,1.91,5,2.23
mediación,5.5,1,2.85,1.87,5.77,2.35
mediana,4.5,1.05,3.23,1.63,5.95,1.61
mediana edad,4.71,1.59,3.09,2.02,5.26,2.26
medianoche,6.18,2.08,4.05,3.07,6.26,2.38
medias,6.21,1.93,4.81,2.73,4.81,1.91
medias,5.95,2.11,3.45,2.52,4.56,2.26
medias nylon,5.52,2.09,3.14,2.44,5.04,2.05
medicación,3.65,1.46,4.56,2.94,6.21,2.21
medicarse,4.15,1.57,4.14,2.43,5.88,2.49
medicina,5.9,2.39,4,1.99,5.35,2.3
medicinal,5.45,1.9,5.87,1.98,5.16,2.39
medición,5.11,1.56,3.09,2.14,5.18,2.4
médico,5.2,1.61,3.55,2.15,5.46,2.28
